317733,732410,2010,2
317734,732410,2010,3
317753,732410,2015,2
317760,732410,2017,1
317763,732410,2017,4
317764,732410,2018,1
317768,732421,1996,1
317770,732421,1996,3
317771,732421,1996,4
317775,732421,1997,4
317779,732421,1998,4
317781,732421,1999,2
317782,732421,1999,3
317783,732421,1999,4
317784,732421,2000,1
317785,732421,2000,2
317786,732421,2000,3
317787,732421,2000,4
317790,732421,2001,3
317791,732421,2001,4
317807,732421,2005,4
317811,732421,2006,4
317812,732421,2007,1
317819,732421,2008,4
317820,732421,2009,1
317823,732421,2009,4
317828,732421,2011,1
317833,732421,2012,2
317834,732421,2012,3
317838,732421,2013,3
317839,732421,2013,4
317840,732421,2014,1
317844,732421,2015,1
317845,732421,2015,2
317848,732421,2016,1
317850,732421,2016,3
317855,732421,2017,4
317863,732429,1996,4
317864,732429,1997,1
317865,732429,1997,2
317867,732429,1997,4
317871,732429,1998,4
317875,732429,1999,4
317877,732429,2000,2
317878,732429,2000,3
317880,732429,2001,1
317883,732429,2001,4
317884,732429,2002,1
317885,732429,2002,2
317887,732429,2002,4
317889,732429,2003,2
317895,732429,2004,4
317896,732429,2005,1
317899,732429,2005,4
317909,732429,2008,2
317922,732429,2011,3
317923,732429,2011,4
317931,732429,2013,4
317935,732429,2014,4
317949,732429,2018,2
317953,732490,1996,2
317955,732490,1996,4
317959,732490,1997,4
317963,732490,1998,4
317965,732490,1999,2
317966,732490,1999,3
317967,732490,1999,4
317972,732490,2001,1
317978,732490,2002,3
318006,732490,2009,3
318020,732490,2013,1
318022,732490,2013,3
318024,732490,2014,1
318028,732490,2015,1
318035,732490,2016,4
318036,732490,2017,1
318047,732510,1996,4
318051,732510,1997,4
318052,732510,1998,1
318055,732510,1998,4
318059,732510,1999,4
318071,732510,2002,4
318077,732510,2004,2
318079,732510,2004,4
318080,732510,2005,1
318087,732510,2006,4
318095,732510,2008,4
318099,732510,2009,4
318101,732510,2010,2
318108,732510,2012,1
318114,732510,2013,3
318115,732510,2013,4
318116,732510,2014,1
318117,732510,2014,2
318119,732510,2014,4
318121,732510,2015,2
318122,732510,2015,3
318129,732510,2017,2
318130,732510,2017,3
318131,732510,2017,4
318135,732510,2018,4
318137,732591,1996,2
318138,732591,1996,3
318139,732591,1996,4
318140,732591,1997,1
318141,732591,1997,2
318143,732591,1997,4
318144,732591,1998,1
318145,732591,1998,2
318147,732591,1998,4
318148,732591,1999,1
318151,732591,1999,4
318154,732591,2000,3
318156,732591,2001,1
318159,732591,2001,4
318160,732591,2002,1
318165,732591,2003,2
318166,732591,2003,3
318169,732591,2004,2
318170,732591,2004,3
318171,732591,2004,4
318180,732591,2007,1
318185,732591,2008,2
318188,732591,2009,1
318189,732591,2009,2
318190,732591,2009,3
318191,732591,2009,4
318196,732591,2011,1
318209,732591,2014,2
318213,732591,2015,2
318216,732591,2016,1
318218,732591,2016,3
318219,732591,2016,4
318222,732591,2017,3
318225,732591,2018,2
318227,732591,2018,4
318231,732599,1996,4
318232,732599,1997,1
318235,732599,1997,4
318237,732599,1998,2
318239,732599,1998,4
318240,732599,1999,1
318243,732599,1999,4
318245,732599,2000,2
318248,732599,2001,1
318251,732599,2001,4
318264,732599,2005,1
318265,732599,2005,2
318268,732599,2006,1
318282,732599,2009,3
318283,732599,2009,4
318287,732599,2010,4
318289,732599,2011,2
318290,732599,2011,3
318291,732599,2011,4
318292,732599,2012,1
318293,732599,2012,2
318306,732599,2015,3
318309,732599,2016,2
318312,732599,2017,1
318317,732599,2018,2
318323,732611,1996,4
318327,732611,1997,4
318329,732611,1998,2
318331,732611,1998,4
318332,732611,1999,1
318334,732611,1999,3
318335,732611,1999,4
318336,732611,2000,1
318337,732611,2000,2
318338,732611,2000,3
318341,732611,2001,2
318342,732611,2001,3
318343,732611,2001,4
318344,732611,2002,1
318345,732611,2002,2
318347,732611,2002,4
318348,732611,2003,1
318349,732611,2003,2
318352,732611,2004,1
318353,732611,2004,2
318355,732611,2004,4
318356,732611,2005,1
318359,732611,2005,4
318361,732611,2006,2
318362,732611,2006,3
318364,732611,2007,1
318367,732611,2007,4
318368,732611,2008,1
318375,732611,2009,4
318378,732611,2010,3
318381,732611,2011,2
318383,732611,2011,4
318389,732611,2013,2
318391,732611,2013,4
318393,732611,2014,2
318394,732611,2014,3
318395,732611,2014,4
318396,732611,2015,1
318398,732611,2015,3
318399,732611,2015,4
